VolumeID,DSC (points) single output,DSC (bboxes) single output,DSC (mixed) single output,DSC (points) Ch:0,DSC (points) Ch:1,DSC (points) Ch:2,DSC (boxes) Ch:0,DSC (boxes) Ch:1,DSC (boxes) Ch:2,DSC (combined) Ch:0,DSC (combined) Ch:1,DSC (combined) Ch:2
1.3.6.1.4.1.14519.5.2.1.6279.6001.137375498893536422914241295628,0.20066889765774432,0.7673469397251145,0.7902097909433224,0.04020100984823613,0.19900497910942797,0.36974790180778194,0.6816143512035231,0.7346938786339026,0.7603305795027662,0.7878787886822773,0.7826086964398236,0.7942238274576757
1.3.6.1.4.1.14519.5.2.1.6279.6001.205993750485568250373835565680,0.1050683121106154,0.7069090909517223,0.7011204482211316,0.12088650115498882,0.11033813313212455,0.11845102521141562,0.7084808155587596,0.7050557928495584,0.694984927419158,0.7118171683790667,0.6937889883789274,0.6894518161520639
1.3.6.1.4.1.14519.5.2.1.6279.6001.768276876111112560631432843476,0.0798280629168474,0.8883638512177414,0.8288177340955556,0.020733653093513833,0.10418445849343769,0.14309484264301592,0.75531185760431,0.7475409837721043,0.6769662923616809,0.6430188681939479,0.6916666668807869,0.6094100077599626
1.3.6.1.4.1.14519.5.2.1.6279.6001.323753921818102744511069914832,0.04345333644557135,0.7755452515981648,0.77351766777839,0.02889723075083949,0.024698532687440176,0.029980160259388627,0.7770850884676881,0.7511476100336429,0.7229744251139921,0.7638963507970452,0.7298819406895882,0.7248617866016186
1.3.6.1.4.1.14519.5.2.1.6279.6001.249314567767437206995861966896,0.1709145428115028,0.6270811846725974,0.6432118031432527,0.017854017325773845,0.009631923114958389,0.014879332423357042,0.6085645356440644,0.5523928683840487,0.5553488372782405,0.6302715194063733,0.5674266130878517,0.5723149653460903
1.3.6.1.4.1.14519.5.2.1.6279.6001.392861216720727557882279374324,8.719916288043258e-11,0.5524296680915222,0.5674091447040924,3.803727651653204e-10,3.2541490389670846e-10,5.333333330488888e-10,0.5740740746374682,0.5194109778856614,0.5377483449831147,0.5917159768145374,0.5135135141111627,0.5452322743945816
1.3.6.1.4.1.14519.5.2.1.6279.6001.199171741859530285887752432478,0.02480521561062089,0.7011764712913495,0.7107438022505294,0.0408673898912146,0.041085840762226086,0.07361002421800311,0.4194756576049601,0.4347826105860113,0.47435897604372124,0.6699751869231385,0.6757990874981756,0.6501128676069687
1.3.6.1.4.1.14519.5.2.1.6279.6001.271220641987745483198036913951,0.010928138108643473,0.8226086957035916,0.8146528157969785,0.028072577995198838,0.00788907494526786,0.012261762093527686,0.827956989295994,0.805460750908572,0.7998892887351537,0.795771016040286,0.7931769723365732,0.7802597403168157
1.3.6.1.4.1.14519.5.2.1.6279.6001.133378195429627807109985347209,0.249707191555468,0.8265012857621387,0.8209067630937028,3.05716906051447e-10,0.013776580109680569,0.01975456479504503,0.8283526055220976,0.8172976208563074,0.8175422841165182,0.8261318389874456,0.8193127962352914,0.814289932120713
1.3.6.1.4.1.14519.5.2.1.6279.6001.164988920331211858091402361989,0.00998935568574557,0.8800521513167848,0.8627195836937414,6.968641110126381e-10,8.110300074525303e-10,7.530120476257438e-10,0.9027679205800085,0.8761904762747004,0.8706038487919019,0.9018789144732924,0.8509189926133975,0.8383705651521876
