VolumeID,DSC (points) single output,DSC (bboxes) single output,DSC (mixed) single output,DSC (points) Ch:0,DSC (points) Ch:1,DSC (points) Ch:2,DSC (boxes) Ch:0,DSC (boxes) Ch:1,DSC (boxes) Ch:2,DSC (combined) Ch:0,DSC (combined) Ch:1,DSC (combined) Ch:2
1.3.6.1.4.1.14519.5.2.1.6279.6001.128881800399702510818644205032,0.04025395471709854,0.867603983635734,0.8484503838929627,0.015759983518395144,0.0034877845399462503,0.0007746717914532558,0.8963282937924794,0.8724066390703286,0.854969574110056,0.8809272919489319,0.8501006036971325,0.8336614174046942
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,0.0052404827416134584,0.869955157242253,0.8583333336284722,0.004727987238479594,0.0018687053846494178,0.0005860822710106632,0.9087301589112496,0.8954128442286002,0.8607142859630103,0.900383141953289,0.8630849222476864,0.8257191204302553
1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950,0.0284771661987826,0.856071964125883,0.8300795373607524,0.025312283740637674,0.0033739456465431963,0.0009689457932852953,0.9067296341124798,0.8687782806914273,0.8609865472410465,0.8940628639184367,0.8600223965733231,0.850498339035993
1.3.6.1.4.1.14519.5.2.1.6279.6001.129567032250534530765928856531,0.003435746986067959,0.7971530256329074,0.7619047627146096,0.006486155759324272,0.0013388402675069855,0.00023973303803925545,0.8273092376413284,0.7749077499080895,0.7544483994503616,0.7737226285630561,0.7023411381192604,0.690553746936307
1.3.6.1.4.1.14519.5.2.1.6279.6001.129982010889624423230394257528,0.0023703805534221493,0.8837209304257128,0.85760000022784,0.015152804999428143,0.003927813928714263,0.0012042600172511248,0.945054945155577,0.9370629371729668,0.9220338984372307,0.9392857143941327,0.9312714777813205,0.9054726369726822
1.3.6.1.4.1.14519.5.2.1.6279.6001.130036599816889919308975074972,0.0035953873919893522,0.8654353565555796,0.856396867215674,0.029240970325990674,0.0035421034888446514,0.0007711146181295722,0.8936725375775131,0.8878224355801905,0.8679692126299768,0.8927038627267297,0.8511123788641687,0.814489572000829
1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,0.0046990378319742504,0.8086419758992531,0.7755102047361219,0.019304038620532083,0.0032944520747079644,0.0010286413578855457,0.8870090635123813,0.8676217765801595,0.8505875770282106,0.875000000073014,0.8312397597863246,0.8176501861681817
1.3.6.1.4.1.14519.5.2.1.6279.6001.130765375502800983459674173881,0.007242938160112816,0.814814815342408,0.7945205485081629,0.013406363534990315,0.0018370511403482258,0.0006375223387508882,0.902821316690579,0.8804185352164287,0.8656934307549683,0.8893939394777318,0.8536409517998262,0.8372739917682378
1.3.6.1.4.1.14519.5.2.1.6279.6001.131939324905446238286154504249,0.024819449874242568,0.8448516232135328,0.8274517450131699,0.10168169824307163,0.02885309416462576,0.008603394518430655,0.9023020428345893,0.8931441374191742,0.8856266307341335,0.8987654321018513,0.8887056398206831,0.8796144958609138
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,0.004828199066871621,0.9048991357207518,0.893258427266128,0.7540983626713249,0.007405618690541285,0.0005120470248369962,0.8141592936800063,0.793103450059453,0.7666666686111111,0.8000000017391304,0.7540983626713249,0.7419354859521332
1.3.6.1.4.1.14519.5.2.1.6279.6001.133378195429627807109985347209,0.006160877013226723,0.8477932077756368,0.8347779704180853,0.05364957119492169,0.00905681154117851,0.002036155604422893,0.8829787234931773,0.8802919708902979,0.8871650212361318,0.8706058340533988,0.8723864456579766,0.8692676250039236
1.3.6.1.4.1.14519.5.2.1.6279.6001.134370886216012873213579659366,0.02194129328763599,0.8854568855060245,0.8707978939364933,0.9628180039866575,0.010604588300929389,0.0026166412178191354,0.9660678643391859,0.9553398059119615,0.9481765835927513,0.9606299213373427,0.9571984436630381,0.9411764706998549
1.3.6.1.4.1.14519.5.2.1.6279.6001.134519406153127654901640638633,0.061405952069474724,0.9372915277060402,0.9308876515129749,0.918238993967802,0.004115980449034916,0.0011497918994753098,0.9419354840582727,0.9299363059556168,0.9240506331517385,0.9358974361028929,0.9211356469364806,0.9040247680989946
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,0.00871055500042134,0.8723124177831013,0.8450472668125576,0.0212095249030665,0.002843828570991562,0.0006975899956950175,0.8956884562616909,0.8703703704561042,0.8603133160180723,0.8848238483165151,0.8470437018977869,0.8265497809476833
